Date,Content type,Views,Subscribers gained
2015-04-06,Other,0,0
2015-04-07,Other,0,0
2015-04-08,Other,0,0
2015-04-09,Other,0,0
2015-04-10,Other,0,0
2015-04-11,Other,0,0
2015-04-12,Other,0,0
2015-04-13,Other,0,0
2015-04-14,Other,0,0
2015-04-15,Other,0,0
2015-04-16,Other,0,0
2015-04-17,Other,0,0
2015-04-18,Other,0,0
2015-04-19,Other,0,0
2015-04-20,Other,0,0
2015-04-21,Other,0,0
2015-04-22,Other,0,0
2015-04-23,Other,0,0
2015-04-24,Other,0,0
2015-04-25,Other,0,0
2015-04-26,Other,0,0
2015-04-27,Other,0,0
2015-04-28,Other,0,0
2015-04-29,Other,0,0
2015-04-30,Other,0,0
2015-05-01,Other,0,0
2015-05-02,Other,0,0
2015-05-03,Other,0,0
2015-05-04,Other,0,0
2015-05-05,Other,0,0
2015-05-06,Other,0,0
2015-05-07,Other,0,0
2015-05-08,Other,0,0
2015-05-09,Other,0,0
2015-05-10,Other,0,0
2015-05-11,Other,0,0
2015-05-12,Other,0,0
2015-05-13,Other,0,0
2015-05-14,Other,0,0
2015-05-15,Other,0,0
2015-05-16,Other,0,0
2015-05-17,Other,0,0
2015-05-18,Other,0,0
2015-05-19,Other,0,0
2015-05-20,Other,0,0
2015-05-21,Other,0,0
2015-05-22,Other,0,0
2015-05-23,Other,0,0
2015-05-24,Other,0,0
2015-05-25,Other,0,0
2015-05-26,Other,0,0
2015-05-27,Other,0,0
2015-05-28,Other,0,0
2015-05-29,Other,0,0
2015-05-30,Other,0,0
2015-05-31,Other,0,0
2015-06-01,Other,0,0
2015-06-02,Other,0,0
2015-06-03,Other,0,0
2015-06-04,Other,0,0
2015-06-05,Other,0,0
2015-06-06,Other,0,0
2015-06-07,Other,0,0
2015-06-08,Other,0,0
2015-06-09,Other,0,0
2015-06-10,Other,0,0
2015-06-11,Other,0,0
2015-06-12,Other,0,0
2015-06-13,Other,0,0
2015-06-14,Other,0,0
2015-06-15,Other,0,0
2015-06-16,Other,0,0
2015-06-17,Other,0,0
2015-06-18,Other,0,0
2015-06-19,Other,0,0
2015-06-20,Other,0,0
2015-06-21,Other,0,0
2015-06-22,Other,0,0
2015-06-23,Other,0,3
2015-06-24,Other,0,0
2015-06-25,Other,0,1
2015-06-26,Other,0,0
2015-06-27,Other,0,0
2015-06-28,Other,0,0
2015-06-29,Other,0,0
2015-06-30,Other,0,0
2015-07-01,Other,0,0
2015-07-02,Other,0,0
2015-07-03,Other,0,0
2015-07-04,Other,0,0
2015-07-05,Other,0,0
2015-07-06,Other,0,0
2015-07-07,Other,0,0
2015-07-08,Other,0,0
2015-07-09,Other,0,0
2015-07-10,Other,0,0
2015-07-11,Other,0,0
2015-07-12,Other,0,0
2015-07-13,Other,0,0
2015-07-14,Other,0,0
2015-07-15,Other,0,0
2015-07-16,Other,0,0
2015-07-17,Other,0,0
2015-07-18,Other,0,0
2015-07-19,Other,0,0
2015-07-20,Other,0,0
2015-07-21,Other,0,0
2015-07-22,Other,0,0
2015-07-23,Other,0,0
2015-07-24,Other,0,0
2015-07-25,Other,0,0
2015-07-26,Other,0,0
2015-07-27,Other,0,0
2015-07-28,Other,0,0
2015-07-29,Other,0,0
2015-07-30,Other,0,0
2015-07-31,Other,0,0
2015-08-01,Other,0,0
2015-08-02,Other,0,0
2015-08-03,Other,0,0
2015-08-04,Other,0,0
2015-08-05,Other,0,0
2015-08-06,Other,0,0
2015-08-07,Other,0,0
2015-08-08,Other,0,0
2015-08-09,Other,0,0
2015-08-10,Other,0,0
2015-08-11,Other,0,0
2015-08-12,Other,0,0
2015-08-13,Other,0,1
2015-08-14,Other,0,0
2015-08-15,Other,0,0
2015-08-16,Other,0,0
2015-08-17,Other,0,0
2015-08-18,Other,0,0
2015-08-19,Other,0,0
2015-08-20,Other,12,0
2015-08-21,Other,14,2
2015-08-22,Other,16,4
2015-08-23,Other,14,1
2015-08-24,Other,11,0
2015-08-25,Other,20,1
2015-08-26,Other,35,0
