Date,Views,Subscribers gained
2015-04-06,0,0
2015-04-07,0,0
2015-04-08,0,0
2015-04-09,0,0
2015-04-10,0,0
2015-04-11,0,0
2015-04-12,0,0
2015-04-13,0,0
2015-04-14,0,0
2015-04-15,0,0
2015-04-16,0,0
2015-04-17,0,0
2015-04-18,0,0
2015-04-19,0,0
2015-04-20,0,0
2015-04-21,0,0
2015-04-22,0,0
2015-04-23,0,0
2015-04-24,0,0
2015-04-25,0,0
2015-04-26,0,0
2015-04-27,0,0
2015-04-28,0,0
2015-04-29,0,0
2015-04-30,0,0
2015-05-01,0,0
2015-05-02,0,0
2015-05-03,0,0
2015-05-04,0,0
2015-05-05,0,0
2015-05-06,0,0
2015-05-07,0,0
2015-05-08,0,0
2015-05-09,0,0
2015-05-10,0,0
2015-05-11,0,0
2015-05-12,0,0
2015-05-13,0,0
2015-05-14,0,0
2015-05-15,0,0
2015-05-16,0,0
2015-05-17,0,0
2015-05-18,0,0
2015-05-19,0,0
2015-05-20,0,0
2015-05-21,0,0
2015-05-22,0,0
2015-05-23,0,0
2015-05-24,0,0
2015-05-25,0,0
2015-05-26,0,0
2015-05-27,0,0
2015-05-28,0,0
2015-05-29,0,0
2015-05-30,0,0
2015-05-31,0,0
2015-06-01,0,0
2015-06-02,0,0
2015-06-03,0,0
2015-06-04,0,0
2015-06-05,0,0
2015-06-06,0,0
2015-06-07,0,0
2015-06-08,0,0
2015-06-09,0,0
2015-06-10,0,0
2015-06-11,0,0
2015-06-12,0,0
2015-06-13,0,0
2015-06-14,0,0
2015-06-15,0,0
2015-06-16,0,0
2015-06-17,0,0
2015-06-18,0,0
2015-06-19,0,0
2015-06-20,0,0
2015-06-21,0,0
2015-06-22,0,0
2015-06-23,0,3
2015-06-24,0,0
2015-06-25,0,1
2015-06-26,0,0
2015-06-27,0,0
2015-06-28,0,0
2015-06-29,0,0
2015-06-30,0,0
2015-07-01,0,0
2015-07-02,0,0
2015-07-03,0,0
2015-07-04,0,0
2015-07-05,0,0
2015-07-06,0,0
2015-07-07,0,0
2015-07-08,0,0
2015-07-09,0,0
2015-07-10,0,0
2015-07-11,0,0
2015-07-12,0,0
2015-07-13,0,0
2015-07-14,0,0
2015-07-15,0,0
2015-07-16,0,0
2015-07-17,0,0
2015-07-18,0,0
2015-07-19,0,0
2015-07-20,0,0
2015-07-21,0,0
2015-07-22,0,0
2015-07-23,0,0
2015-07-24,0,0
2015-07-25,0,0
2015-07-26,0,0
2015-07-27,0,0
2015-07-28,0,0
2015-07-29,0,0
2015-07-30,0,0
2015-07-31,0,0
2015-08-01,0,0
2015-08-02,0,0
2015-08-03,0,0
2015-08-04,0,0
2015-08-05,0,0
2015-08-06,0,0
2015-08-07,0,0
2015-08-08,0,0
2015-08-09,0,0
2015-08-10,0,0
2015-08-11,0,0
2015-08-12,0,0
2015-08-13,0,1
2015-08-14,0,0
2015-08-15,0,0
2015-08-16,0,0
2015-08-17,0,0
2015-08-18,0,0
2015-08-19,0,0
2015-08-20,12,0
2015-08-21,14,2
2015-08-22,16,4
2015-08-23,14,1
2015-08-24,11,0
2015-08-25,20,1
2015-08-26,35,0
2015-08-27,2,0
2015-08-28,2,0
2015-08-29,26,1
2015-08-30,20,2
2015-08-31,4,0
2015-09-01,11,0
2015-09-02,11,0
2015-09-03,4,1
2015-09-04,18,1
2015-09-05,3,0
2015-09-06,10,0
2015-09-07,0,5
2015-09-08,12,0
2015-09-09,3,1
2015-09-10,12,2
2015-09-11,5,0
2015-09-12,15,0
2015-09-13,4,0
2015-09-14,2,0
2015-09-15,3,0
2015-09-16,0,0
2015-09-17,1,0
2015-09-18,4,0
2015-09-19,4,0
2015-09-20,4,0
2015-09-21,7,0
2015-09-22,3,0
2015-09-23,1,0
